score,content
0,"Makin kesini IG sudah gak asik lagi.. Terlalu banyak bug iklan maupun posting yg tidak kita follow di beranda.. Juga ditambah dengan postingan yg muncul di beranda bukan postingan terbaru.. Kebanyakan postingan lama.. Biasanya pembaharuan aplikasi itu membuat pengguna lebih mudah dan nyaman tp berbeda dg IG. Pembaharuan malah semakin membuat ribet dan tidak menyenangkan lg. EH ANEH HABIS NGASIH ULASAN INI, SY GAK BISA BUKA IG LAGI.. KATANYA LAGI MENGALAMI MASALAH.."
0,"Instagram sekarang kenapa tiba2 keluar sendiri ya?? baru beberpa detik scrol2 eh tiba2 keluar sendiri gitu aja sih??! Padahal baru update loh (kan kesal jadinya). Kalau gk di update malah LOLA, setelah diupdate malah tiba2 keluar sendiri aja. TOLONG SEGERA DI PERBAIKI...!"
0,Sudah 1 minggu instagram saya tdk bisa di refresh. Sudah di logout berkali kali ttp tdk bisa. Tolong diperbaki untuk kenyamanan pengguna..
0,"Gila sihhh bug nya parah min ,tolong perbaiki dong ,sekarang jadi gak bisa melihat yg diikuti ,terus pas login suka muter2 padahal jaringan bagus ,tolonglah update yg lebih bagus lagi dari yg sebelumnya"
0,"Setelah di update banyak sekali bug, mau scan barcode aja tiba tiba keluar sendiri, dan masih banyak lagi bug bug yang lain"
0,"Saat upload story selalu kualitas vidio turun, padahal handphone saya juga tidak jelek, ini handphone spesifikasi yang bagus."
0,"Ngelaporin bug berkali kali ga direspon ga di perbaiki sama sekali, semenjak update ada bug terus , tolonglah diperbaiki ngeganggu banget tiap bikin snap atau upload video pasti bug mulu ah , ga sebagus sebelum update"
0,"gk tau knp ig ku udah hampir seminggu ini tiba2 keluar sendiri tiap di buka. kalo buka ig, setiap udah 3 menit keluar sendiri 😭"
0,"Aplikasi tiba tiba log out sendiri, dan ngga bisa log in lagi. Katanya akun dinonaktifkan. Padahal saya tidak melakukan apapun atau melanggar komunitas, tiba tiba aja dinonaktifkn"
0,"semakin sering update bukannya malah bertambah kualitas ,eh ini malah ngurangi kualitas.Contohnya masa sinyal bagus ,video ngga muter malah suaranya doang ,story juga kenapa nge blur ,dan muncul suara doang ,makin kesini makin kesana aja nih apk"
0,"Instagram bug saya upload konten reels gak ada yang nonton padahal biasanya ada 1k lebih, dan juga story juga gak ada yang liat, aku share post publik tapi gak ke share.. Kalau di cek di akun lain, postingan yang di share gak ada? Mohon bantuannya pihak Instagram @datch_arts"
0,"Instagram kok JELEK bgt ya skrg? Mau login susah, slalu suruh cobalah beberapa saat, pdhl berhari² tuh gabisa dipake. Emg app nyusahin, apa gunanya kalo gini?"
0,"Instagram versi sekarang ini kenapa ya ? Setiap mau reset password delay terlalu lama, padahal tertulis ""akan di proses setelah 1 menit"". Untuk check up keamanan pake nomor telepon juga sama, tidak ada notif sama sekali, padahal nomor benar."
0,"Instagram sekarang kenapa gak bisa dibuka kalau pakai wifi, selalu tidak dapat memuat, cuma bisa dibuka pakai data seluler. Dan jg postingan diberanda sudah tidak relevan lagi, terlalu banyak iklan dan postingan dari akun yang tidak kita follow, terlalu banyak postingan yg disarankan padahal itu tidak perlu dan malam mengganggu"
0,"apaan ngebug kah?, gue udh cape cape simpen effect nya, cmn gabisa di pake cuy, ngebug pa gmn ni gue kesel bgt, udah coba restart ulang ig nya ttp sama hasilnya. gabisa di pake effect nya."
0,"Setiap mau login selalu terjadi kesalahan, sering bgt ga cuma sekali dua kali jadi bikin emosi. Sampe berkali kali gua instal ulang biar bisa login 👎"
0,"Kok saya simpan stories...di galeri hp nggak bisa....ya biasanya,kalau saya buat status distories instagram bisa...disimpan dirol kamera hp ini nggak bisa...tolong dibetul ya,saya berharap...dibisa lagi simpan dirol kamera hp...makasih sebelum ya."
0,"banyak bug, filter sering hilang sendiri, terus kadang filter ig nya ga bisa di pake, pas di update baru bisa itupun selepas beberapa hari kemudan balik lagi jadi ga bisa, kadang juga ga bisa disimpen filternya"
0,"Begitu lalod padahal kalau buka aplikasi lain lancar lancar aja .. Tpi instagram lalod bangett ngga ke refresh pemberitahuan, padahal udah update aplikasinya.. Senoga lebih ditingkatkan lgi"
0,"Makin kesini instagram makin gak bagus, tiap mau login selalu gagal, nama pengguna salah sedangkan password dan nama pengguna yang di gunakan sudah benar tapi tidak bisa login"
0,"Saya kasih bintang satu, soal nya sering nge bug gajelas, masa kita udh nonton story org, tapi story nya muncul lagi, udah gitu sering bgt followers berkurang padahal gada yg unfoll"
0,Kenapa ig jadi gak karuan masak konten tidak otomatis tidak bisa chek orang log in..setiap log in salah kata sandi terus menerus tolong dong.di perbaiki dan tolong di jaga keamanan pengguna ini lebih penting ...biar pengguna aman dari gangguan orang orang gk jelas terimakasih tolong meta di perbaiki dan buat pengguna lebih nyaman
0,"Maaf kasih bintang 1. Gak tahu kenapa tiba2 sering keluar sendiri dari aplikasi. Ditambah lagi susah buat dibuka. Udah di uninstall trus download lagi, tetap aja masih sama. Udah satu minggu an ini. Tolong diperbaiki."
0,"saya mau minta update, untuk memperbaiki bug yang ada pada instagram saya, saat saya membuka instagram dan mengklik profile saya, selalu keluar dengan tiba-tiba, bisa kah diperbaiki? terima kasih 🙏🏻"
0,"Semenjak ada update Instagram saya sering kali ada bug , sekarang setiap saya ingin menggunakan akun yang pertama selalu saja tiba"" aplikasi ny close tolong pihak Instagram"
0,"untuk pihak instagram , mohon di perbaiki lagi aplikasi ini, setiap saya ingin melihat profil akun saya, instagram saya selalu keluar dengan sendirinya, padahal baru saya update, mohon di perbaiki lagi"
0,"demi apapun, kemarin baru aku update tapi kok malah hari ini pas mau foto pakai efek Instagram kok malah ga bisa semua. Udah berkali kali dicoba tetap ga bisa. padahal sinyal juga bagus"
0,Terima kasih buat instagram yang udah naikin emosi saya. Setiap masuk ada tulisan maaf sedang ada kendala.ok saya faham mungkin instagram sudah tidak patut untuk dimainkan atau dipake. Terus setiap ingin masuk padahal kata sandi dan Email sudah bener. Maaf tidak terdaftar. Dan saya sangat lebih faham lagi mungkin ini harus di Deleate dari Play store. Makasih
0,"Pliss lahh, ini aplikasi udh bnyk bugnya. Enakan yg dulu.. apalagi ini gabisa login ke akun yg dulu katanya ""harap tunggu beberapa menit"" blaaa blaa blaa.. bikin emosi tau ga?! Ini juga udh saya coba berkali kali masih aja tetep Kaya gitu. Pliss rasanya pingin aku hps aja nihh apk! + tolong is gausah diperbaharui lagi yg dulu aja udh cukup bagus lohh minn, mohon kembalikan Instagram yg dulu!!"
0,Saya tidak suka dengan update tan yang sekaranh Adabanyak fitur bagus yang dihilangkan seperti penambahan dan mite musik pada bagian cerita di instagram Lebih baik fitur yang kemarin baik dari UI/UX-nya Versi ini adalah versi yang buruk👎👎👎👎👎👎👎📉
0,"Kenapa aplikasi ini habis di update sering keluar? Tolong di perbaiki pihak instagram,kami sebagai pengguna terasa tidak nyaman menggunakan aplikasi ini Mohon di perbaiki bug nya"
0,"Makin kesini makin banyak bug nya, barusan banget update, trus tiba tiba langsung keluar..."
0,Haduuhh...knp Instagram sy tidak bisa lmasuk ke feed sy sendiri ?? Tolong perbaiki Instagram saya...!!! Gimana sih di upgrade malah tidak bisa masuk ke feed sendiri...
0,"Aplikasinya sudah bagus tapi, saya ingin meminta kepada developer instagram untuk memperbaiki bug yg ad di aplikasi tersebut misalnya, tema hitam, filter hilang, mau up story video/foto tidak kerender, kadang juga hacker suka bobol akun saya, udh 2x saya dibobol ama hacker aneh yg ngefollowing org 18+ yg biasanya gk boleh dilihat ank"" mohon untk pihak instagram agar memperbaiki bug dan mengamankan akun lebih ketat lagi"
0,"Instagram sekarang jelek skali. Bbrp hari ini tiap buka instagram baru sebentar saja langsung kembali ke layar utama alias ada tulisan ""INSTAGRAM TELAH BERHENTI"" begitu sampai sudah malas untuk buka instagram. Terkadang baru klik lambang instagram langsung muncul lagi tulisan ""INSTAGRAM TELAH BERHENTI"""
0,"Kenapa setelah update, makin jengkel saja dengan Instagram. Sebelumnya fitur baru ini dihapus bisa. Setelah itu kok saya tidak bisa lagi mau memulihkan story setelah saya hapus sebelumnya. Mohon lah diperbaiki eror nya. Itu membuat pengguna tidak nyaman. Terimakasih"
0,Kanapa sekarang jadi susah banget upload video?. Saya upload video reels udah 3 hari gak bisa. Dihapus gak bisa padahal jaringan kenceng. Dan kalau bikin reels dengan photo dari galeri gambarnya gak muncul. Padahal dulu muncul. Tolong diperbaiki lagi ya. Nanti akan saya tambah bintang jika sudah diperbaiki. Video reels saya yang ditonton hingga 4jt hilang begitu saja. Saya cari diarsip tidak ada.
0,"Sering nge bug, font di story'nya jadi ke sensor gitu kalo di up, terus filternya ga sering nge bug"
0,Kenapa setiap saya ingin melihat logint tersimpan saya selalu keluar apk secara langsung? Sudah saya kirim laporan bug. Saya perlu melihat login tersimpan saya agar saya tau keamanan data saya ya. Segera diperbaiki.
0,Instagram saya kecewa dengan Instagram karena saya kira akun saya yang berrmasalah tapi ternyata bukan saya sudah berkali-kali mencoba tapi hasilnya tetap sama tolong di perbaiki
0,"Kecewa, marah, kesel krn link di bio tidak dpt di klik, pdhal sebelum update msh bisa, layar kadang jd hitam. What's wrong? Tolong diperbaiki ya..."
0,Semenjak ada update saya tidak bisa masuk ke Instagram tolong dong dibalikin lagi tampilannya seperti dulu. Akun satu satunya udh puluhan tahun kok bisa hilang
0,"Semakin di UpDate,Semakin kurang seru memakainya.krna 1) reels yg kita buat sndiri setelah di upload atau di posting akan membesar videonya. 2)boomerangnya klo di pakai selalu membesar jg penhambilannya setelah di simpan. Dan terahir ini stlh di UpDate lgi videonya yg di dpt g bs di smpn lgi"
0,"aplikasi banyak bug saat reset sandi tidak ada pesan masuk,kalo develop nya gamampu ngurusin bug ini hapus aja ig ini."
0,"Kenapa sekarang sekarang Instagram makin menurun sistem nya, komplain saya.. saya login ke akun IG saya kok sering error dengan muncul tulisan (maaf kesalahan coba lagi) sering loh kayak gini dan saya hafal ingat betul kata sandi saya Perbaiki dong developer"
0,"makin kesini makin ga jelas, sumpah tekanan bgt pake ig niatnya mau healing malah error trs suka lama bgt loadingnya, mau nyalahin hp tapi hp ku hp baru, mau nyalahin jaringan tapi aku buka yt fine fien aja"
0,"Sangat disayangkan sering terjadi bug tiba tiba keluar sendiri dari akun,terjadi hitam menjadi putih,saat siaran langsung terkadang tidak bisa disentuh,mohon developer diperbaiki lagi."
0,"Kenapa pas saya update, kalau ngevidio Hasil KAMERA nya BLUR PECAH biasa nya gk gini. Tolong di perbaiki. Jelek jadi nya hasil kamera saya.!!!!!?????"
0,"Lah kok diupdate malah gak bisa lagi buat reel , musicgak bisa di search untuk postingan video, harus pake app ke3 lagi.. Hahh diperbaiki dong , diupdate malah tambah gak bagus 🤦‍♀️🤦‍♀️"
0,"Semenjak saya update kenapa nggak berkembang malah tambah parah ya? Ig malah menampilkan akun2 yang tidak saya ikuti dan terlalu banyak iklan, membalas DM juga tidak bisa digeser lagi pesannya untuk membalas."
0,"Akun tiba2 logout sendiri. Login lg tidak bisa. Reset lewat email, udah sesuai petunjuk tidak bisa jg. muncul ""Maaf kami tidak dapat menyelesaikan permintaan anda. coba lagi setelah beberapa saat"". Instagramnya error atau akun saya dibajak?"
0,"Akun saya tiba2 gk bisa di reload, padahal waktu sebelum di perbaharui aman2 aja. Kecewa bgt, jgn smpe aja akun saya kehapus dari pihak ig nya"
0,"Kenapa Instagram jadi jelek gini si. Berkali"" hapus link di bio gak ke update"" juga, udah login logout masih sama aja. Perbaiki lagi dong, masa ada fitur nya gak jalan di aplikasi yg banyak pengguna nya."
0,"Ini kenapa yah? Saat saya ingin masuk lalu ingin login kembali ke Instagram tapi tiba tiba disuruh login ke akun padahal nggak keluar/logout... Pas mau login ke akun malah ga bisa dikiranya no. Yang dipake nggak terdaftar anehnya disitu, pas saya coba beberapa kali tetep ga bisa... Tolong diperbaiki kembali bug nya"
0,"Story instagram kembalikan seperti sebelumnya. Urutkan didepan dari yang terbaru jangan yang ter lama, karna sering terlewat info terbaru."
0,"saya tidak bisa memakai tautan di bio (ada masalah coba lagi), pada waktu itu sudah saya tautkan di bio saya linknya tapi tiba-tiba hilang dan saya coba lagi pada akhirnya ada pemberitahuan ( ada masalah, Coba Lagi ) sampai beberapa hari berturut- turut. padahal udh di update, hapus cache. Tolong di bantu dan di perbaiki secepatnya"
0,Saya tidak bisa menggunakan filter kamera. Padahal biasa ny baik2 aj skrg semua filter nya gx bisa di gunain meski pun udh ganti yg baru apl instagram ny jga sudh di apdet ulang tapi tetap gx bisa di gunakan filter ny
0,"Terlalu banyak bug tiba² tautan link di bio hilang, padahal udah di update tetapi tetap saja tidak bisa. Klo udah bisa baru saya kasih bintang 5"
0,"Instagram dah bagus cuman kenapa pas daftar malah di bikin ribet sama pemilihan nama yg gk sesuai terus, pas udah ngikutin saran dari apknya malah gk bisa juga, terus maunya apa coba."
0,"Makin ke sini makin gak nyaman aku pengguna andro kalau bikin caption di cerita pasti selalu font nya jadi blur/gak jelas. Makindi update malah makin eror, bagi pengguna ip sih font nya tetap gak berubah"
0,"Ig sekarang banyak bug misalnya di kolom komentar sering jawaban komentar tidak nyambung, atau tiba² opsi kirim komentar muncul dan nggak bisa diclose kecuali aplikasinya dibuka ulang"
0,Kenapa tiba tiba tdk bs mengganti link pada bio? Semenjak di update ko jd bnyk kendala yaaa? Bahkan bnyk juga keluhan2 lain dr para pengguna. Tolong di respon dan di perbaiki sistemnya ya
0,apa nih udh di update malah makin absurd amat buat foto bisa klo nyimpen ga bisa alias lama banget buat nyimpen trs gaada fitur translate nyaaaa tolong dong. Terus kenapa muncul foto lama bukan foto terbaru tolong Instagram sekarang kok kaya gini
0,"instagram makin gajelas, kmrn hp hbs kerestart, skrng dipake login ig gabisa katanya nunggu bbrp menit, udh ditunggu, nyoba login ttp gabisa, udah ada 4-6 hari an bolak balik nyoba ttp gabisa, tolong diperbaiki secepatnya."
0,"Setelah diperbarui kenapa untuk sekali foto dapet banyak fiturnya hilang. Padahal lebih gampang karena tidak harus sekali foto simpan, sekali foto simpan. Tolong fiturnya dilengkapi lagi"
0,"Gak jelas banget anjir,udah 1 minggu gak bisa login sama sekali.banyak kerjaan numpuk di Instagram ni admin.tolong dong proses.masa' mau login silakan coba sesaat lagi tulisan nya"
0,"Gajelas lu ya, tidak bisa memuat efek, mksdny apasi ganggu tau ga, pdahl pengen nyoba filter terbaru malah kek gitu selalu aja tidak bisa memuat efek, hapus data pun sama hapus cache pun sama log in log out pun sama download ulang pun sama masih tidak bisa memuat efek!!"
0,"Tambahin fitur ngeliat post yg pernah kita liat, apaan orng post video yg ad tulisannya, gak bisa d pause, gak bisa d tahan pake tap, kek mana mau baca nya tod?"
0,"Bug parahhhh, di profil bagian web ada link nya. Tpi pas mau di ganti link nya ternyata kosong. Pas di isi malah suruh coba lagi. Hadehhhh"
0,"Aku benci instagram yang baru di update karena orang yang aku follow malah jadi seperti di unfollow balik bukanya malah jadi lebih baik dan canggih tapi malah jadi bug,tolong developer perbaikin instagram ini jika tidak aku dan teman yang lain akan hapus aja daripada menggunakan ini"
0,Kenapa sudah di update aplikasi nya semakin tidak enak digunakan 😥😥 Tidak bisa melihat reels... Sudah coba isi kuota dengan 2 kartu perdana
0,Udah di update brp x dari awal bulan... Smpe skrg ig nya mash g bsa .. mnyiapkan bhs indo lah... Pke inggrs jg sama aja... Beranda ga ke update lbh dri smnggu... Makin ga enk di pake. Tlong jgn di perbaiki terus tpi relevan dong
0,"Ig semakin ngeselin anjir, masa udah download efek, udah dicoba berkali kali tetep muter"", ga muncul efeknya padahal wifinya lancar Tolong dibetulkan lagi"
0,"Search engine bagian musik tidak berfungsi, dulu bisa search banyak lagu, tapi sekarang kok ga bisa, tolong di perbaiki!!!!"
0,Instagram tolong dong Perbakin skrng masa Ig ngebug akun ga bisa masuk ktnya nama pengguna salah pdhl jelas jelas udh betul udh coba juga ttp ga bisa tolong perbaiki skrng!!!!!!!!!!!
0,Efek nya kurang bagus terlebih lagi kalau Instagram ini terhapus tidak bisa mengunakan aku yg kita gunakan sebelumnya tolong di perbaiki lagi 😖😖😖 apa lagi perlu banyak MB jadi memori saya penuh
0,"Kenapa bug macam ini sih pas pake filter, filternya ga bisa di gunain dan juga mohon di perbaiki lagi saya kasih bintang 2 dulu kalau dah bisa di gunakan saya ganti 5"
0,"Kok habis update, malah sering error sih Apalagi mau edit sampul sorotan juga lama banget loadingnya. Tolong dong ubah seperti semula ajj"
0,"Apk ny ga bisa di update, dan saya hapus apk ternyata tidak bisa di instal lagi, dan semua filter ny ga bisa di instal mohon di perbaiki lagi"
0,Banyak bug. Liat reels kadang semua isinya sama. Sampe bolak balik ke beranda dulu tetep isinya sama semua. Trs suka tiba2 berubah jadi putih tema nya
0,"Mohon maaf saya kasih bintang 1 karena banyak sekali bug yang terjadi pada Instagram yang baru ini , karena jika saya memakai filter Ig pasti semua filter akan muncul tulisan ""gagal menggunakan filter ini diperangkat anda"" nah gitu terus tulisan nya, mohon untuk kontak developer untuk memperbaiki Instagram agar lebih canggih dan tidak banyak bug nya"
0,"Akun saya tiba2 ke hack ga bisa login kemarin tanggal 16 okt .. saya udh mengikuti opsi yang udh tertera di instagram , sy udh masukin nomor telepon sama kode verifikasi bahwa akun ig itu asli milik saya pribadi.. dan di suru nunggu 24jam buat hasilnya tapi belum ada notifikasi, aktivitas saya di Instagram sama seperti yang lainnya.. posting foto sama story insatgram dan lain2 sperti memnjawab pesan teman.. saya harap instagram bisa mengembalikan akun ig saya nti saya kasih bintang 5.. makasi"
0,"Tolong untuk instagram privasi keamanan di perbaiki lagi lah.. Sudah banyak rekan2 dan termasuk saya akun kami kena hack... Dan membuat modus pemerasan dan penipuan, mohon ya pihak instagram dengan sangat, Terima kasih."
0,"Saya sangat tidak suka saat saya mention teman saya di komen feed , ataupun sebaliknya, masuk ke DIRECT MESSAGE!!!! sungguh sungguh menuh menuhin inbox saja dan menenggelamkan pesan yg SEBENARNYA DIKIRIM LEWAT DM Tolong kembalikan ke settingan semula Instagram"
0,"Kaga jelas, udah diupdate loading doang njir, padahal pake wifi dan sebelumnya juga gak masalah, skrg gak mau ke refresh klo gak pake datsel-,- nyusahin banget njir"
0,"Saya tidak bisa memperbarui instagram, handphone saya oppo f1s, aplikasi ini tidak bisa di instal atau di perbarui jadi saya masih menggunakan versi lama. Tolong perbaiki saya sangat butuh aplikasi ini."
0,"Sangat mengecewakan, bgitu banyak bug, slow respon, refresh rate 120 hz tdk berfungsi dgn baik, filter"" Yg patah"", kadang kameranya ngak muncul sma skli, pokoknya sdh bkn kyk dulu lgi. SNGT MENGECEWAKAN!!! tolong di perbaiki"
0,"Apk susah di instal, padahal apk lain bisa di instal. Cuma apk ini aja yang susah. Kenapa ig jdi bug gni sih. Memo juga gk penuh, tapi tetep aja setelah ad tulisan instal tapi tiba tiba kembali ke awal lagi. Udh beberapa sya coba masih tetap. Gak ad perubahn"
0,"Knapa ig aku jdi error gini yaa, klo mau liat video di reels nya jdi gaada gambarnya tpi suara ada. Tolong dong apk ig perbaiki lah ini."
0,"Fitur auto refreshnya hilangkan ajalah. Masih enak enak lihat video, tiba tiba kerefresh videonya. Sama share komentar malah jadi ngebug. Kalo kepencet langsung freeze"
0,"Mention Teman di Kolom Komentar , begitupun sebaliknya masuknya di DM kan biasanya di Notifikasi❤️ ,kalo begini kan jadi Spam Banget !! Mohon dibalikan Kesemula lagi.. Tolong!!!"
0,"Kenapa pas sy buka kamera malah hitam semua ya? Keluar sendiri, lag, nge frezee, dan sering ada bug! Tolong di perbaiki lgi!!"
0,"Semenjak update jadi banyak kendala bug saat login masuk tiba tiba kembali ke halaman semula saat melihat postingan keluar dengan sendiri nya dan saat melihat story banyak iklan nya, itu aja semoga kedepannya lebih baik 🙏"
0,Ini Instagram lagi kenapa sih ?? Udah 24 jam feed beranda gk bisa di perbarui. Padahal bukanya pakai WiFi tpi kok ngelag parah
0,"Maaf saya hanya kasih bintang 2 soalnya instagram habis di update malah banyak bug dan gak bisa di buat foto dlu sebelum updete masih bisa di buat foto tapi sekarang dah gak bisa, mohon maaf segera di perbaiki. Sekian terimakasih"
0,"Mention kini masuk DM, ini sangat mengganggu, kembalikan pada Instagram sebelumnya yang super nyaman.. Mention pemberitahuan masuk notif, sudah cukup begitu, ngapain masuk DM.. DM hrusnya lebih ke privasi, kalo mention sifatnya publik, tolong dong kembalikan ke setting an awal IG yang asik.."
0,"Banyak bug yang sangat menggangu, contohnya ketika mau menyimpan audio lagu, sudah tersimpan tetapi tidak muncul di menu tersimpan"
0,"Tolong dong ubah lagi kaya biasanya, mention jangan masuk ke DM. DM saya jadi penuh dan pesan penting lainnya jadi ketumpuk. Sangat mengganggu. Tolong mention balik lagi ke notifikasi."
0,"Mending nggk usah update² deh, klau bukan tambah baik, mlah tambak buruk, dulu suka skrang jadi burik bnget, filternya loding mulu, nggk mau² keluar filternya, pdahal penyimpanan bnyak, kuota pun banyak tapi tetap jga enggak bisa, udah lakuin banyak cara di youtube tetap aja nggk bisa, udah di update jga, segala macam dh di lakuin tapi nggk jga bisa, tolong perbaiki yg lebih baik kek awal, update tu tambah bagus bukan tambah burik."
0,"Assalamualaikum mohon untuk pihak Instagram,tolong segera di perbaiki kendala saya,tolong ya filter yg udah saya simpam kenapa tidak bisa digunakan atau tidak bisa di unduh,tolong segera di perbaiki 🙏🙏"
0,udah ganti akunkenapa kok massage status fail terus padahal udah coba berkali2 .sampai akun lama ilang gara2 gak bisa login .ajg gw gak bisa login cok.akun lama ilang gara2 gak bisa login
0,"Pengalaman pengguna jadi terganggu dengan maraknya peretasan akun dimohon untuk system keamanan nya diperkuat, sya sndiri pengalaman diretas walaupun akun sya sudah mengaktifkan verifikasi melewati email atau pun nomor telpon, di mohon kedepannya di fix ya"
0,"Mengapa Instagram gua , ngak bisa di upgrade padahal jaringan gua baik , dan mengapa cuman aplikasi ini aja yg tidak bisa di upgrade ,sementara aplikasi yg lain bisa ??"
0,"Jujur saya makin lama makin ga suka sama apk ini. Semenjak ada kata update"" bukan nya tambah bagus malah tambah error Jadi tolong untuk perbaiki apk nya lagi🙏🏻"
0,Hmmm. Udah diupdate. Tapi mau kirim pesan gagal. Mau buat story pakai musik juga nggak bisa. Padahal koneksi sinyal bagus
0,"Kenapa Ig aku ngga bisa nyimpan vidio reels? Biasanya bisa, kalok kita mau nmbahin reels di story' kita terus kita simpan bisa, ini kok ngga bisa, ngga jelas lah, semua vdio reels ngga bisa trsimpan, Tolong update yg bagus"
0,"Mengapa ketika saya ingin membuka ig saya malah ig nya ke uninstall sendiri? Sudah di dwonload dan di update malah tidak bisa, ig nya error? Saya ingin ig kembali seperti dulu, padahal dulu baik baik saja,sekarang malahan memburuk."
0,udah hari hari ini Instagram saya ga bisa dibuka. mohon perbaiki segera dan saya sudah mencoba beberapa hal yang bisa buka Instagram tetapi tetap tidak bisa di buka. setiap di buka pasti selalu keluar sendiri. mohon di perbaiki segera karena saya sangat membutuhkan Instagram 🙏🏻
0,"Fiturnya makin aneh sejak ada reels. Kenapa setiap mention teman di kolom komen, malah masuk ke DM secara otomatis. Kan ganggu banget"
0,"aku kan baru download instagram trs mau login tp gabisaa!! mau buat akun baru jg gk bisa, ""maaf, kami tidak dpt memproses peemintaan anda. coba lagi setelah beberapa menit"" kurang lebih kyk gitulahh,tolong di perbaiki lagi yh.. makasih -_-"
0,"bener² kacau Instagram sekarang, saya ga ada salah apapun dan tiba² di nonaktifkan, sedangkan saya akan mengajukan banding namun terlogout sendiri akunnya. Sekarang saya bingung harus berbuat apa lagi supaya akun saya balik"
0,"Instagram saya tidak menerima koneksi internet dari wifi saya, dan harus memakai data/vpn agar dapat terkoneksi internet, ini jadi merepotkan. Saya jadi tidak dapat merefresh beranda dan eksplor. Padahal aplikasi lain terkoneksi internet seperti biasanya dari wifi saya"
0,Pada saat mau upload Reel atau Story selalu gagal. Tolong diidentifikasi penyebabnya dan segera di perbaiki. Sehingga bisa lebih baik lagi
0,Kenapa ubah bahasa gak bisa?! Saya ubah bahasa indonesia ke China tapi balik ke bahasa semula jadi indonesia lagi‼️ tolong perbaiki view status juga gak bisa dilihat cuma tulisan 'Aktivitas'!!‼️ tema juga tiba² putih hitam gak jelas
0,Sangat buruk Saya tidak bisa memakai filter apapun alias pas mau make filter loading terus entah sampai kapan Padahal jaringan nya bagus dan udah saya update
0,Tolong yach instagram lebih sopan lagi ... Di pencarian nya .. Banyak sekali cewek2 dengan pakaian yang gak sopan atau banyak yang telanjang itu tolong di hapus yach .. Bisa kan lebih sopan lagi .. Maaf jika salah kata & makasoh atas bantuannya 🙏🙏🙏
0,"Aplikasi sudah diperbarui tapi masih tetep gk bisa pake filter dengan alasan update aplikasi terlebih dahulu, udh di install ulang, hapus data dan cache tapi tetep gk bisa 👎"
